Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
67,Oshae Brissett,SF,23,IND,42,1,18.9,2.2,5.5,0.403,0.8,2.5,0.33,1.4,3,0.464,0.478,1,1.5,0.635,1.2,3.1,4.3,0.7,0.5,0.3,0.7,1.4,6.2,1701593
444,Otto Porter Jr.,PF,28,GSW,43,11,21.9,3.3,6.8,0.48,1.6,3.9,0.404,1.7,3,0.578,0.594,0.6,0.8,0.727,1,4.3,5.3,1.6,1.1,0.5,0.5,1.3,8.7,2389641
34,Paris Bass,SF,26,PHO,2,0,3.5,1,3,0.333,0,1,0,1,2,0.5,0.333,1,1,1,1,1,2,0,0.5,0,1,1,3,NA
112,Pat Connaughton,SG,29,MIL,52,18,27.3,3.7,7.7,0.473,2.3,5.7,0.414,1.3,2.1,0.636,0.624,0.6,0.7,0.811,0.7,3.8,4.5,1.3,0.9,0.3,0.6,1.3,10.2,5333333
45,Patrick Beverley,PG,33,MIN,35,31,25.9,3.1,7.6,0.411,1.3,3.9,0.328,1.8,3.7,0.5,0.496,1.4,1.9,0.706,1.1,3.4,4.5,5,1.1,0.9,1.1,2.9,8.9,14320988
371,Patty Mills,PG,33,BRK,52,35,31,4.9,11.2,0.436,3.3,7.8,0.425,1.6,3.4,0.463,0.584,0.7,0.8,0.884,0.2,1.9,2.2,2.5,0.7,0.3,0.9,1.4,13.8,5890000
183,Paul George,SF,31,LAC,26,26,35.5,9,21.4,0.421,2.7,8.3,0.323,6.3,13,0.484,0.484,4,4.5,0.88,0.4,6.7,7.1,5.5,2,0.4,4.2,2.5,24.7,39344970
372,Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,0.376,0.3,1.1,0.222,1.1,2.4,0.448,0.412,0.5,0.7,0.706,1.2,2.5,3.7,1,0.2,0.5,0.5,2,3.4,2641691
453,Payton Pritchard,SG,24,BOS,44,2,12.1,1.7,4.5,0.377,1,2.8,0.369,0.7,1.8,0.39,0.49,0.3,0.3,1,0.3,1.3,1.6,1.6,0.2,0.1,0.6,0.8,4.8,2137440
115,Petr Cornelie,PF,26,DEN,13,0,2.9,0.4,1.2,0.333,0.1,0.6,0.125,0.3,0.5,0.571,0.367,0.2,0.3,0.75,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1,NA
